transaction_id,customer_id,transaction_date,amount,transaction_type,payment_method,payment_status,failure_reason,customer_age,customer_tenure_years,previous_successful_payments,previous_failed_payments,customer_lifetime_value,subscription_status,cart_value,time_since_failure_hours,recovery_attempts,contact_allowed,revenue_at_risk,predicted_probability,predicted_probability_percentage,recommended_action,simulated_recovered,simulated_recovered_revenue,action_success_probability
T032281,C13002,2025-08-21 22:11:32.227496,12531.8,subscription,Net Banking,failed,limit_exceeded,21,0.56,5,1,19887.09,renewal_failed,0.0,38,1,True,12531.8,0.19847475218646957,19.847475218646956,ESCALATE,True,12531.8,0.06908485131188173
T009300,C10990,2025-08-21 22:37:32.227496,445.87,payment,Credit Card,failed,network_error,19,4.8,19,3,71789.46,not_applicable,0.0,12,3,True,445.87,0.9039088089629299,90.390880896293,ESCALATE,False,0.0,0.3923452853777579
T038374,C14478,2025-08-22 00:01:32.227496,1801.12,subscription,Net Banking,failed,insufficient_funds,36,1.18,8,2,30708.06,renewal_failed,0.0,54,1,True,1801.12,0.19620283069210248,19.62028306921025,ESCALATE,False,0.0,0.06772169841526147
T010571,C11371,2025-08-22 00:08:32.227496,1866.25,payment,UPI,abandoned,checkout_abandoned,19,0.95,9,1,30567.42,not_applicable,0.0,29,1,True,1866.25,0.4544538436686343,45.44538436686343,ESCALATE,True,1866.25,0.22267230620118056
T015372,C15463,2025-08-22 00:14:32.227496,4157.98,subscription,Debit Card,failed,bank_declined,36,3.18,10,3,16659.46,renewal_failed,0.0,70,1,True,4157.98,0.41687458013345774,41.687458013345775,RETRY,True,4157.98,0.32518712212011197
T017508,C19447,2025-08-22 02:01:32.227496,744.29,checkout,Debit Card,failed,authentication_failed,52,2.17,12,4,21603.85,not_applicable,852.27,14,0,True,744.29,0.48091684190110623,48.09168419011062,ALTERNATIVE_PAYMENT,True,744.29,0.5568709998060509
T020966,C13249,2025-08-22 03:06:32.227496,7096.75,payment,Debit Card,failed,authentication_failed,39,3.96,9,1,30379.03,not_applicable,0.0,13,0,True,7096.75,0.5555384234742377,55.55384234742377,ALTERNATIVE_PAYMENT,True,7096.75,0.6277615023005257
T003328,C16071,2025-08-22 03:23:32.227496,4932.57,checkout,Debit Card,failed,bank_declined,18,1.29,5,1,11218.98,not_applicable,5273.36,31,1,True,4932.57,0.3569939899628432,35.69939899628432,RETRY,False,0.0,0.2712945909665589
T047359,C14749,2025-08-22 04:12:32.227496,3938.06,subscription,Credit Card,failed,limit_exceeded,44,1.72,11,1,25514.99,renewal_failed,0.0,7,0,True,3938.06,0.4814875931613933,48.148759316139326,ALTERNATIVE_PAYMENT,True,3938.06,0.5574132135033236
T048293,C11004,2025-08-22 05:00:32.227496,2200.34,checkout,Credit Card,failed,insufficient_funds,37,3.2,11,3,43942.69,not_applicable,2443.3,72,1,True,2200.34,0.3114490081713969,31.144900817139693,ESCALATE,False,0.0,0.13686940490283817
T000278,C18738,2025-08-22 05:30:32.227496,2800.26,checkout,Wallet,failed,authentication_failed,53,3.14,15,2,21564.42,not_applicable,3732.72,29,1,True,2800.26,0.6429457388593207,64.29457388593207,ALTERNATIVE_PAYMENT,True,2800.26,0.6607984519163546
T014397,C11055,2025-08-22 08:18:32.227496,689.04,payment,Credit Card,failed,insufficient_funds,21,2.56,3,1,7774.18,not_applicable,0.0,55,0,True,689.04,0.19659566986572943,19.659566986572944,ESCALATE,False,0.0,0.11795740191943765
T040600,C10044,2025-08-22 08:39:32.227496,2482.57,subscription,Debit Card,failed,bank_declined,32,3.18,16,2,50832.46,renewal_failed,0.0,37,0,True,2482.57,0.7017878967731938,70.17878967731937,ALTERNATIVE_PAYMENT,True,2482.57,0.766698501934534
T027295,C13543,2025-08-22 08:44:32.227496,1174.08,payment,Debit Card,failed,authentication_failed,54,2.82,6,2,9312.26,not_applicable,0.0,62,2,True,1174.08,0.2951345333262479,29.51345333262479,ESCALATE,False,0.0,0.07708071999574873
T011130,C16645,2025-08-22 08:50:32.227496,6389.42,payment,Wallet,failed,insufficient_funds,32,2.1,5,2,12815.58,not_applicable,0.0,40,3,True,6389.42,0.19921352082745647,19.921352082745646,ESCALATE,False,0.0,0.0
T016345,C18226,2025-08-22 09:13:32.227496,2558.81,payment,Credit Card,failed,bank_declined,38,3.37,8,1,20879.57,not_applicable,0.0,6,0,True,2558.81,0.6334094500092236,63.34094500092235,ALTERNATIVE_PAYMENT,False,0.0,0.7017389775087624
T038679,C18699,2025-08-22 10:54:32.227496,2859.62,payment,Net Banking,abandoned,checkout_abandoned,56,0.74,5,0,14936.46,not_applicable,0.0,33,3,True,2859.62,0.30272432813561706,30.272432813561707,ESCALATE,False,0.0,0.031634596881370214
T042094,C16934,2025-08-22 11:30:32.227496,757.31,payment,UPI,failed,card_expired,31,1.8,5,1,15220.89,not_applicable,0.0,70,2,False,757.31,0.17337188661347944,17.337188661347945,DO_NOT_CONTACT,False,0.0,0.0
T034492,C12721,2025-08-22 12:30:32.227496,866.33,subscription,UPI,failed,network_error,54,4.61,19,1,69652.2,renewal_failed,0.0,66,0,True,866.33,0.8471309605022599,84.71309605022599,RETRY,True,866.33,0.8624178644520339
T000448,C17334,2025-08-22 12:40:32.227496,4708.54,subscription,Credit Card,abandoned,checkout_abandoned,19,0.93,8,1,22048.37,cancelled,0.0,39,0,True,4708.54,0.43324841529131974,43.32484152913197,ESCALATE,True,4708.54,0.25994904917479184
T044189,C12129,2025-08-22 14:30:32.227496,2268.7,subscription,Credit Card,failed,network_error,38,3.75,11,2,11568.23,renewal_failed,0.0,5,0,True,2268.7,0.7380568259767474,73.80568259767473,RETRY,True,2268.7,0.7642511433790726
T046914,C17381,2025-08-22 14:38:32.227496,935.33,subscription,Credit Card,failed,insufficient_funds,34,4.59,17,4,53655.6,renewal_failed,0.0,47,0,True,935.33,0.5517696236971493,55.176962369714936,ESCALATE,True,935.33,0.3310617742182896
T026311,C16194,2025-08-22 15:02:32.227496,4419.11,payment,Wallet,failed,network_error,32,4.6,23,0,74541.79,not_applicable,0.0,65,0,True,4419.11,0.9172991056327571,91.72991056327571,RETRY,True,4419.11,0.9255691950694813
T040391,C19663,2025-08-22 15:15:32.227496,680.11,payment,Wallet,failed,network_error,54,4.71,15,1,26443.07,not_applicable,0.0,18,2,True,680.11,0.8449765117684522,84.49765117684522,RETRY,False,0.0,0.7604788605916071
T006755,C10113,2025-08-22 15:41:32.227496,1500.37,subscription,Wallet,abandoned,checkout_abandoned,26,2.16,6,0,4553.9,active,0.0,9,2,True,1500.37,0.5461355707330973,54.61355707330973,ESCALATE,False,0.0,0.22768134243985835
T042244,C19781,2025-08-22 16:51:32.227496,2463.86,checkout,Credit Card,failed,authentication_failed,30,0.16,1,2,1522.01,not_applicable,2821.62,1,1,True,2463.86,0.23893912366472753,23.89391236647275,ESCALATE,False,0.0,0.09336347419883652
T044593,C15838,2025-08-22 16:52:32.227496,5415.84,subscription,Net Banking,failed,card_expired,29,2.6,8,2,30579.27,renewal_failed,0.0,30,0,True,5415.84,0.2624798992071387,26.24798992071387,ESCALATE,False,0.0,0.15748793952428322
T046705,C17403,2025-08-22 17:10:32.227496,878.18,subscription,Debit Card,abandoned,checkout_abandoned,49,1.23,5,1,8184.97,cancelled,0.0,36,0,True,878.18,0.31470382003647956,31.470382003647956,ESCALATE,True,878.18,0.18882229202188774
T034718,C10386,2025-08-22 18:13:32.227496,3048.18,subscription,Net Banking,abandoned,checkout_abandoned,33,4.04,9,1,24832.76,active,0.0,17,0,True,3048.18,0.640165958956313,64.0165958956313,REMINDER,False,0.0,0.6441410651128661
T007704,C16206,2025-08-22 18:57:32.227496,2255.24,payment,Debit Card,failed,limit_exceeded,28,4.43,14,1,31510.58,not_applicable,0.0,47,1,True,2255.24,0.5927593875248718,59.27593875248718,ALTERNATIVE_PAYMENT,True,2255.24,0.6131214181486281
T010063,C18445,2025-08-22 19:39:32.227496,4391.52,subscription,UPI,failed,bank_declined,24,3.94,14,1,25851.9,renewal_failed,0.0,53,2,True,4391.52,0.6919450181814684,69.19450181814683,ALTERNATIVE_PAYMENT,True,4391.52,0.657347767272395
T038607,C17899,2025-08-22 20:02:32.227496,1147.7,subscription,UPI,failed,network_error,56,4.62,16,1,36622.99,renewal_failed,0.0,5,2,True,1147.7,0.861463094226583,86.14630942265829,RETRY,True,1147.7,0.7753167848039246
T014265,C12296,2025-08-22 20:31:32.227496,345.18,checkout,UPI,failed,insufficient_funds,51,2.11,10,0,30142.21,not_applicable,359.79,2,0,False,345.18,0.45027647045300895,45.027647045300895,DO_NOT_CONTACT,False,0.0,0.0
T033887,C12699,2025-08-22 22:17:32.227496,12514.48,payment,Net Banking,abandoned,checkout_abandoned,51,2.82,9,2,30135.51,not_applicable,0.0,34,1,True,12514.48,0.4127840403676161,41.278404036761614,ESCALATE,False,0.0,0.19767042422056968
T029187,C12510,2025-08-22 23:39:32.227496,4932.46,payment,UPI,failed,insufficient_funds,47,4.48,15,4,28904.74,not_applicable,0.0,64,3,True,4932.46,0.4240666618528501,42.406666185285005,ESCALATE,False,0.0,0.10443999711171004
T049864,C12052,2025-08-22 23:43:32.227496,1109.47,payment,Net Banking,failed,card_expired,43,4.65,13,2,22184.31,not_applicable,0.0,13,0,True,1109.47,0.5258708740412236,52.58708740412236,ALTERNATIVE_PAYMENT,False,0.0,0.5995773303391624
T022840,C13548,2025-08-23 01:31:32.227496,2271.54,payment,Credit Card,failed,bank_declined,35,1.69,11,2,39093.34,not_applicable,0.0,35,3,True,2271.54,0.5689475560217795,56.89475560217795,ESCALATE,False,0.0,0.19136853361306766
T030126,C11359,2025-08-23 03:10:32.227496,2764.47,checkout,Credit Card,failed,insufficient_funds,49,0.56,2,1,6437.83,not_applicable,3937.89,33,0,True,2764.47,0.13742769805150912,13.742769805150912,ESCALATE,False,0.0,0.08245661883090546
T037551,C18601,2025-08-23 03:56:32.227496,4153.66,subscription,Net Banking,failed,limit_exceeded,32,1.86,11,1,18861.29,renewal_failed,0.0,23,2,True,4153.66,0.42777256242443035,42.77725624244304,ALTERNATIVE_PAYMENT,False,0.0,0.40638393430320885
T017838,C14099,2025-08-23 05:08:32.227496,4135.23,payment,UPI,failed,bank_declined,38,2.45,4,2,13436.54,not_applicable,0.0,6,0,True,4135.23,0.43515028945778617,43.51502894577862,RETRY,True,4135.23,0.39163526051200753
T001703,C19932,2025-08-23 06:30:32.227496,1180.93,payment,Debit Card,failed,authentication_failed,57,0.31,2,1,2541.3,not_applicable,0.0,44,0,True,1180.93,0.18201852478135033,18.201852478135034,ESCALATE,False,0.0,0.1092111148688102
T028776,C11627,2025-08-23 07:07:32.227496,2443.49,checkout,Debit Card,failed,bank_declined,35,0.76,4,2,6805.99,not_applicable,2887.41,55,0,True,2443.49,0.24685522525851053,24.685522525851052,ESCALATE,False,0.0,0.14811313515510632
T036562,C16994,2025-08-23 07:27:32.227496,1455.88,payment,UPI,abandoned,checkout_abandoned,38,1.94,7,1,20884.48,not_applicable,0.0,39,0,True,1455.88,0.4005857201384224,40.058572013842245,ESCALATE,False,0.0,0.24035143208305343
T009797,C18225,2025-08-23 09:25:32.227496,1690.84,payment,Credit Card,failed,insufficient_funds,30,3.78,16,1,12859.55,not_applicable,0.0,11,0,True,1690.84,0.6479203622978389,64.79203622978389,REMINDER,False,0.0,0.5507323079531631
T020835,C19702,2025-08-23 09:51:32.227496,7191.84,subscription,Credit Card,failed,insufficient_funds,56,3.63,13,1,25588.6,renewal_failed,0.0,9,0,True,7191.84,0.5127797369770186,51.27797369770186,ESCALATE,False,0.0,0.3076678421862112
T044778,C17794,2025-08-23 09:54:32.227496,771.04,payment,Credit Card,failed,limit_exceeded,42,2.22,9,0,21326.64,not_applicable,0.0,56,2,True,771.04,0.4004886417312686,40.04886417312686,ALTERNATIVE_PAYMENT,False,0.0,0.3804642096447052
T038539,C16033,2025-08-23 09:55:32.227496,2740.7,subscription,UPI,failed,network_error,32,3.87,15,1,17692.27,renewal_failed,0.0,39,0,True,2740.7,0.786244463824472,78.6244463824472,RETRY,True,2740.7,0.8076200174420248
T002663,C16100,2025-08-23 10:13:32.227496,791.19,payment,UPI,abandoned,checkout_abandoned,59,0.56,3,2,3410.76,not_applicable,0.0,11,1,True,791.19,0.25736677309544925,25.736677309544927,ESCALATE,False,0.0,0.10442006385726955
T032160,C13017,2025-08-23 10:45:32.227496,3123.79,subscription,Net Banking,failed,authentication_failed,49,3.08,8,0,14559.04,renewal_failed,0.0,28,0,True,3123.79,0.4752141230608801,47.52141230608801,ALTERNATIVE_PAYMENT,True,3123.79,0.5514534169078361
T047688,C13792,2025-08-23 11:39:32.227496,3025.49,subscription,Credit Card,failed,network_error,29,0.44,4,1,12992.89,renewal_failed,0.0,32,1,True,3025.49,0.39742540922256275,39.742540922256275,ALTERNATIVE_PAYMENT,True,3025.49,0.32755413876143463
T044764,C13901,2025-08-23 12:15:32.227496,2231.11,subscription,Wallet,abandoned,checkout_abandoned,30,4.49,8,2,27142.79,active,0.0,49,0,True,2231.11,0.563662537854496,56.36625378544961,ESCALATE,False,0.0,0.3381975227126976
T023390,C16719,2025-08-23 14:20:32.227496,4279.29,payment,Net Banking,failed,limit_exceeded,26,3.79,14,0,54285.98,not_applicable,0.0,62,1,True,4279.29,0.5820888713413248,58.20888713413248,ALTERNATIVE_PAYMENT,True,4279.29,0.6029844277742584
T019561,C14943,2025-08-23 15:28:32.227496,7250.91,subscription,Credit Card,failed,card_expired,44,3.63,7,5,18533.26,renewal_failed,0.0,7,1,True,7250.91,0.250803751032531,25.0803751032531,ESCALATE,False,0.0,0.10048225061951858
T026448,C14786,2025-08-23 16:19:32.227496,976.34,payment,Debit Card,abandoned,checkout_abandoned,22,1.26,8,1,25499.94,not_applicable,0.0,13,1,True,976.34,0.4409916933507422,44.099169335074215,ESCALATE,False,0.0,0.21459501601044528
T025527,C12176,2025-08-23 17:34:32.227496,5812.18,checkout,Wallet,failed,limit_exceeded,53,1.47,2,2,7900.37,not_applicable,7134.44,2,1,True,5812.18,0.20809321411193107,20.809321411193107,ESCALATE,False,0.0,0.07485592846715863
T037531,C18280,2025-08-23 17:58:32.227496,2589.79,checkout,UPI,abandoned,checkout_abandoned,60,4.83,19,2,23958.47,not_applicable,3342.2,72,0,True,2589.79,0.7148099260680056,71.48099260680057,REMINDER,True,2589.79,0.7075884371578047
T025747,C15019,2025-08-23 18:00:32.227496,2762.84,subscription,Debit Card,failed,card_expired,30,4.05,12,0,45363.41,renewal_failed,0.0,71,2,False,2762.84,0.39005677181839954,39.00567718183996,DO_NOT_CONTACT,False,0.0,0.0
T013214,C14609,2025-08-23 18:09:32.227496,963.26,payment,Debit Card,failed,insufficient_funds,57,0.73,4,0,14582.9,not_applicable,0.0,13,1,False,963.26,0.19628236972919233,19.628236972919233,DO_NOT_CONTACT,False,0.0,0.0
T015997,C10036,2025-08-23 18:12:32.227496,4202.58,payment,Credit Card,abandoned,checkout_abandoned,40,1.43,2,4,2432.48,not_applicable,0.0,60,3,True,4202.58,0.16476292529773945,16.476292529773946,ESCALATE,False,0.0,0.0
T000841,C13145,2025-08-23 18:28:32.227496,4075.7,payment,Net Banking,failed,network_error,53,1.77,6,1,11242.44,not_applicable,0.0,41,0,False,4075.7,0.4544079335358479,45.44079335358479,DO_NOT_CONTACT,False,0.0,0.0
T018523,C11778,2025-08-23 19:11:32.227496,1978.77,payment,UPI,failed,bank_declined,40,4.1,16,5,43301.78,not_applicable,0.0,43,0,True,1978.77,0.6866996227966025,68.66996227966024,ALTERNATIVE_PAYMENT,False,0.0,0.7523646416567723
T046427,C13153,2025-08-23 20:30:32.227496,1710.99,subscription,UPI,abandoned,checkout_abandoned,51,1.78,7,1,22310.38,active,0.0,44,2,True,1710.99,0.4388494234516066,43.88494234516066,ESCALATE,False,0.0,0.16330965407096396
T049672,C10040,2025-08-23 20:32:32.227496,819.31,payment,Credit Card,failed,card_expired,52,3.25,19,2,47510.17,not_applicable,0.0,3,1,True,819.31,0.684586535585753,68.45865355857529,ALTERNATIVE_PAYMENT,True,819.31,0.7003572088064652
T032602,C13668,2025-08-23 21:31:32.227496,2466.87,payment,Debit Card,failed,insufficient_funds,21,4.34,18,3,29397.17,not_applicable,0.0,37,3,True,2466.87,0.5873802039898391,58.73802039898391,ESCALATE,False,0.0,0.20242812239390345
T045277,C14658,2025-08-24 01:23:32.227496,3588.07,subscription,Debit Card,failed,authentication_failed,39,2.71,7,0,16459.71,renewal_failed,0.0,32,0,False,3588.07,0.41819243076348767,41.81924307634877,DO_NOT_CONTACT,False,0.0,0.0
T026443,C19397,2025-08-24 03:11:32.227496,2415.34,payment,Wallet,failed,card_expired,28,1.36,5,1,6572.34,not_applicable,0.0,6,0,True,2415.34,0.2495300778039749,24.953007780397492,ESCALATE,False,0.0,0.14971804668238495
T010329,C12063,2025-08-24 03:13:32.227496,3625.42,checkout,UPI,abandoned,checkout_abandoned,54,3.1,15,1,17770.29,not_applicable,3702.34,1,1,True,3625.42,0.7105531927363173,71.05531927363174,REMINDER,False,0.0,0.6539702138258696
T045297,C19503,2025-08-24 03:14:32.227496,1866.76,payment,Net Banking,failed,insufficient_funds,53,0.11,2,2,2283.06,not_applicable,0.0,28,0,True,1866.76,0.11105685096206154,11.105685096206154,ESCALATE,False,0.0,0.06663411057723692
T039182,C16583,2025-08-24 03:30:32.227496,3723.34,payment,Credit Card,failed,bank_declined,58,0.29,1,2,2261.46,not_applicable,0.0,32,0,True,3723.34,0.22490681189828282,22.490681189828283,ESCALATE,False,0.0,0.1349440871389697
T001844,C17262,2025-08-24 03:53:32.227496,1946.97,subscription,Net Banking,failed,authentication_failed,49,1.55,12,1,9897.84,renewal_failed,0.0,44,1,True,1946.97,0.45840363135129636,45.840363135129635,ALTERNATIVE_PAYMENT,True,1946.97,0.48548344978373154
T040538,C14120,2025-08-24 04:14:32.227496,1313.3,subscription,UPI,abandoned,checkout_abandoned,37,2.42,11,1,28880.42,active,0.0,27,0,True,1313.3,0.6291019570265208,62.91019570265208,REMINDER,False,0.0,0.6347366634725427
T000682,C18811,2025-08-24 04:37:32.227496,2257.58,payment,Net Banking,failed,limit_exceeded,30,2.67,13,0,41697.79,not_applicable,0.0,52,3,True,2257.58,0.5249861705733213,52.49861705733213,ESCALATE,False,0.0,0.16499170234399274
T042424,C10809,2025-08-24 05:44:32.227496,1677.51,payment,Debit Card,failed,card_expired,21,2.03,5,1,17189.12,not_applicable,0.0,6,0,True,1677.51,0.2567305201139639,25.67305201139639,ESCALATE,False,0.0,0.15403831206837834
T009331,C10293,2025-08-24 07:28:32.227496,3988.96,subscription,Credit Card,abandoned,checkout_abandoned,58,4.6,13,2,15419.3,active,0.0,2,2,True,3988.96,0.7576382411305341,75.76382411305342,REMINDER,True,3988.96,0.643992504960954
T018239,C14508,2025-08-24 08:06:32.227496,1921.34,payment,Debit Card,failed,card_expired,46,4.09,13,1,51192.38,not_applicable,0.0,20,0,True,1921.34,0.5137829668257677,51.378296682576774,ALTERNATIVE_PAYMENT,True,1921.34,0.5880938184844793
T023432,C15089,2025-08-24 08:09:32.227496,1277.8,payment,Credit Card,failed,limit_exceeded,22,4.64,12,2,29653.05,not_applicable,0.0,18,0,True,1277.8,0.629440248010129,62.9440248010129,ALTERNATIVE_PAYMENT,True,1277.8,0.6979682356096225
T005032,C11715,2025-08-24 09:18:32.227496,371.19,payment,Debit Card,failed,limit_exceeded,23,3.78,10,1,37817.61,not_applicable,0.0,10,0,True,371.19,0.5493615010941995,54.93615010941995,ALTERNATIVE_PAYMENT,False,0.0,0.6218934260394894
T025191,C11307,2025-08-24 10:01:32.227496,652.8,subscription,Debit Card,failed,insufficient_funds,42,3.43,10,0,32168.64,renewal_failed,0.0,44,3,True,652.8,0.37040574923289205,37.040574923289206,ESCALATE,False,0.0,0.07224344953973519
T048358,C13597,2025-08-24 10:02:32.227496,2692.56,payment,Wallet,abandoned,checkout_abandoned,28,1.92,8,2,11285.86,not_applicable,0.0,68,3,True,2692.56,0.34011129076309604,34.0111290763096,ESCALATE,False,0.0,0.0540667744578576
T007608,C15230,2025-08-24 10:34:32.227496,296.69,checkout,UPI,failed,bank_declined,49,2.66,9,1,23151.71,not_applicable,304.47,27,1,True,296.69,0.5791113897699371,57.91113897699371,RETRY,False,0.0,0.4712002507929434
T048010,C16708,2025-08-24 11:29:32.227496,5520.55,payment,UPI,failed,network_error,27,3.69,15,1,31014.56,not_applicable,0.0,21,0,True,5520.55,0.8202501351973015,82.02501351973015,RETRY,True,5520.55,0.8382251216775713
T008981,C11304,2025-08-24 12:50:32.227496,3139.74,checkout,Debit Card,abandoned,checkout_abandoned,51,4.46,16,0,48905.62,not_applicable,4666.75,32,0,True,3139.74,0.7379551707786486,73.79551707786486,REMINDER,True,3139.74,0.7272618951618512
T025288,C15461,2025-08-24 13:30:32.227496,1902.48,payment,Credit Card,abandoned,checkout_abandoned,39,2.64,8,1,22799.12,not_applicable,0.0,21,0,True,1902.48,0.5072291329758798,50.72291329758798,ESCALATE,False,0.0,0.3043374797855279
T047913,C17193,2025-08-24 14:59:32.227496,221.89,checkout,UPI,abandoned,checkout_abandoned,45,4.27,14,2,31783.66,not_applicable,239.67,40,3,False,221.89,0.6660818643708002,66.60818643708002,DO_NOT_CONTACT,False,0.0,0.0
T036644,C12384,2025-08-24 17:29:32.227496,9405.72,payment,Credit Card,failed,insufficient_funds,46,4.14,13,2,14046.91,not_applicable,0.0,54,0,True,9405.72,0.4218311162020875,42.18311162020875,ESCALATE,False,0.0,0.2530986697212525
T026035,C16823,2025-08-24 18:18:32.227496,1427.78,checkout,Wallet,failed,bank_declined,56,2.89,10,1,19652.04,not_applicable,1633.32,22,3,True,1427.78,0.6120783606321767,61.20783606321767,ESCALATE,False,0.0,0.217247016379306
T028386,C10483,2025-08-24 18:47:32.227496,2659.49,subscription,Debit Card,failed,bank_declined,39,2.04,10,1,25994.58,renewal_failed,0.0,23,0,True,2659.49,0.5360236744845317,53.60236744845317,RETRY,False,0.0,0.48242130703607855
T026004,C18793,2025-08-24 19:17:32.227496,1747.13,payment,Net Banking,failed,authentication_failed,32,4.03,17,1,20599.67,not_applicable,0.0,6,1,True,1747.13,0.7888883950441076,78.88883950441075,ALTERNATIVE_PAYMENT,True,1747.13,0.7994439752919021
T018354,C16667,2025-08-24 20:00:32.227496,1402.63,payment,Net Banking,failed,network_error,26,1.72,5,1,4517.89,not_applicable,0.0,33,3,True,1402.63,0.4697950642510996,46.97950642510996,ESCALATE,True,1402.63,0.13187703855065974
T011143,C11837,2025-08-24 20:17:32.227496,620.7,checkout,Credit Card,abandoned,checkout_abandoned,21,2.33,19,0,25090.66,not_applicable,905.86,14,0,True,620.7,0.8131917235684274,81.31917235684274,REMINDER,True,620.7,0.7912129650331633
T020449,C13488,2025-08-24 21:30:32.227496,881.79,payment,Wallet,failed,network_error,45,3.65,14,2,24740.97,not_applicable,0.0,61,0,True,881.79,0.7172763233120732,71.72763233120733,RETRY,True,881.79,0.745548690980866
T032966,C10567,2025-08-24 22:07:32.227496,538.8,payment,Credit Card,failed,bank_declined,29,3.49,14,2,32989.88,not_applicable,0.0,58,0,True,538.8,0.6796549145009185,67.96549145009185,ALTERNATIVE_PAYMENT,True,538.8,0.7456721687758725
T024841,C15844,2025-08-24 23:30:32.227496,651.43,subscription,Wallet,abandoned,checkout_abandoned,41,2.33,14,1,23112.09,cancelled,0.0,8,0,True,651.43,0.7033293590033756,70.33293590033756,REMINDER,True,651.43,0.6978299551528692
T033785,C18151,2025-08-25 00:02:32.227496,2146.82,payment,Wallet,failed,bank_declined,26,1.97,6,2,10115.18,not_applicable,0.0,2,0,True,2146.82,0.4958703498851126,49.587034988511256,RETRY,False,0.0,0.44628331489660134
T048373,C11834,2025-08-25 00:46:32.227496,5728.17,subscription,UPI,failed,authentication_failed,26,2.76,8,1,26730.83,renewal_failed,0.0,41,3,True,5728.17,0.4401880707841175,44.01880707841175,ESCALATE,False,0.0,0.11411284247047043
T026794,C12733,2025-08-25 01:09:32.227496,599.47,payment,Wallet,failed,network_error,34,0.61,5,2,4014.36,not_applicable,0.0,44,0,False,599.47,0.38754563359296273,38.75456335929627,DO_NOT_CONTACT,False,0.0,0.0
T030710,C17323,2025-08-25 01:13:32.227496,741.89,subscription,UPI,failed,network_error,34,1.01,5,1,11960.68,renewal_failed,0.0,11,2,True,741.89,0.48613498787452547,48.61349878745255,ALTERNATIVE_PAYMENT,False,0.0,0.36182823848079915
T021715,C15006,2025-08-25 01:21:32.227496,1750.72,payment,Credit Card,failed,limit_exceeded,35,1.47,10,2,16962.54,not_applicable,0.0,27,0,True,1750.72,0.4015361471717428,40.15361471717428,ALTERNATIVE_PAYMENT,False,0.0,0.4814593398131557
